YEAR;FACILITY_NAME;GHGRP_ID;ADDRESS;LATITUDE;LONGITUDE;CITY;COUNTY;STATE;ZIP_CODE;PARENT_CO;SUBPARTS;NUM_SECTORS;TOTAL_REPORTED_CO2_tCO2;POWER;REFINING;IRON STEEL;CHEMICALS;CEMENT;TOTAL_CO2_tCO2
2017;23rd and 3rd;1000112;730 3rd Avenue;40.663;-74;BROOKLYN;Kings;NY;11232;NEW YORK POWER AUTHORITY (100%);C,D;1;52646;52646;0;0;0;0;52646
2017;3M COMPANY;1004206;1400 STATE DOCKS RD.;34.641667;-87.038611;DECATUR;MORGAN;AL;35609;3M CO (100%);C,L,OO;1;44689;0;0;0;44689;0;44689
2017;48th Street Peaking Station;1001106;491 E 48TH ST;42.7553;-86.0853;HOLLAND;Allegan;MI;49423;HOLLAND BOARD OF PUBLIC WORKS (100%);C,D;1;50948;50948;0;0;0;0;50948
2017;59th Street;1000766;850 12TH AVE;40.7711;-73.9911;NEW YORK;New York;NY;10019;CONSOLIDATED EDISON INC (100%);C;1;218624;218624;0;0;0;0;218624
2017;74th Street;1000767;506 E 75TH ST;40.768;-73.9515;NEW YORK;New York;NY;10021;CONSOLIDATED EDISON INC (100%);C;1;194720;194720;0;0;0;0;194720
2017;A B Brown Generating Station;1001033;8511 WELBORN ROAD;37.9053;-87.715;MOUNT VERNON;Posey;IN;47620;VECTREN CORP (100%);D;1;2155623;2155623;0;0;0;0;2155623
2017;ABBVIE LTD.;1007514;RD 2 KM 58.0;18.433237;-66.570509;BARCELONETA;BARCELONETA MUNICIPIO;PR;617;ABBVIE INC (100%);C;1;81830;0;0;0;81830;0;81830
2017;ABC COKE;1004511;ONE RAILROAD AVENUE;33.580769;-86.781281;TARRANT;JEFFERSON COUNTY;AL;35217;DRUMMOND CO INC (100%);C,Q;1;166246;0;0;166246;0;0;166246
2017;ADA COGENERATION;1002731;7575 FULTON STREET EAST;42.955455;-85.479053;ADA;KENT;MI;49355;ADA COGEN HOLDINGS LP (99.5%);C;1;95153;95153;0;0;0;0;95153
2017;ADA Carbon Solutions (Red River), LLC;1003752;201 Red River Mine Road;32.005405;-93.387829;Coushatta;RED RIVER PARISH;LA;71019;ADA CARBON SOLUTIONS LLC (100%);C;1;183754;0;0;0;183754;0;183754
2017;ADVANSIX INCORPORATED - HOPEWELL;1000630;905 EAST RANDOLPH ROAD;37.1815;-77.1621;HOPEWELL;HOPEWELL CITY;VA;23860;ADVANSIX INC (100%);C,G,PP;1;1040132;0;0;0;1040132;0;1040132
2017;AES - PUERTO RICO COGENERATION PLANT;1005310;KM 142, RTE. #3 BO. JOBOS;17.9451;-66.1503;GUAYAMA;GUAYAMA MUNICIPIO;PR;785;AES CORP (100%);C;1;2462578;2462578;0;0;0;0;2462578
2017;AES Alamitos;1001444;690 N STUDEBAKER ROAD;33.7688;-118.1009;LONG BEACH;Los Angeles;CA;90803;AES CORP (100%);D;1;591336;591336;0;0;0;0;591336
2017;AES HAWAII INC;1005972;91-086 KAOMI LP;21.306111;-158.108056;KAPOLEI;HONOLULU;HI;96707;AES CORP (100%);C;1;1462443;1462443;0;0;0;0;1462443
2017;AES Huntington Beach;1001447;21730 NEWLAND ST;33.6436;-117.9788;HUNTINGTON BEACH;Orange;CA;92646;AES CORP (100%);D;1;256287;256287;0;0;0;0;256287
2017;AES Redondo Beach;1001450;1100 N HARBOR DRIVE;33.8504;-118.395;REDONDO BEACH;Los Angeles;CA;90277;AES CORP (100%);D;1;352104;352104;0;0;0;0;352104
2017;AES SHADY POINT, LLC;1007781;3 MILES E. OF JUNCTION 31;35.1929;-94.6469;PANAMA;LE FLORE COUNTY;OK;74951;AES CORP (100%);C,PP;1;2099141;2099141;0;0;0;0;2099141
2017;AES Warrior Run;1001223;11600 MEXICO FARMS RD SE;39.5944;-78.7456;CUMBERLAND;Allegany;MD;21502;AES CORP (100%);C,D,PP;1;1223740;1223740;0;0;0;0;1223740
2017;AG Energy;1007551;21 Entrance Avenue;44.7258;-75.4417;Ogdensburg;ST. LAWRENCE COUNTY;NY;13669;AG ENERGY LP (100%);C,D;1;8096;8096;0;0;0;0;8096
2017;AGRI ENERGY LLC;1005284;502 SOUTH WALNUT AVENUE;43.648333;-96.224444;LUVERNE;ROCK;MN;56156;GEVO (100%);C,II;1;39562;0;0;0;39562;0;39562
