SECTOR;value;LATITUDE;LONGITUDE
Cement;0.22501;31.6238;117.9593
Cement;0.70205;32.3532;118.1714
Cement;0.70205;30.8938;119.4171
Cement;0.35102;30.8765;119.4266
Cement;0.70205;31.0681;119.562
Cement;0.80105;32.3155;118.3139
Cement;0.35102;33.9914;116.828
Cement;0.35102;33.9914;116.828
Cement;0.70205;32.6314;116.8336
Cement;1.05307;31.1414;118.3426
Cement;1.26458;32.0425;118.4927
Cement;0.63004;31.2273;117.3937
Cement;4.99082;31.5129;118.3362
Cement;4.99082;31.6454;117.8559
Cement;0.13951;31.0837;118.1964
Cement;0.35102;31.0837;118.1964
Cement;0.45003;31.0837;118.1964
Cement;0.42303;40.1857;116.168
Cement;0.70205;39.7305;115.9649
Cement;0.42303;39.7732;116.033
Cement;1.40409;30.0783;106.5914
Cement;1.05307;29.9425;106.3551
Cement;0.35102;29.5425;106.1573
Cement;0.70205;29.0225;106.8236
Cement;1.05307;30.8079;108.4087
Cement;0.35102;29.4583;108.793
Cement;0.84155;29.8377;107.0093
Cement;1.05307;29.3433;106.4275
Cement;0.35102;28.4483;109.0071
Cement;1.35009;29.3778;106.4362
Cement;0.64804;29.5922;107.4282
Cement;0.45003;29.2045;106.147
Cement;0.63004;29.8368;107.0791
Cement;0.45003;30.2651;106.9199
Cement;0.64804;29.4835;106.4424
Cement;0.13951;30.1733;107.655
Cement;0.64804;30.6022;106.5592
Cement;0.63004;25.0984;117.0303
Cement;0.63004;24.723;116.732
Cement;0.13951;25.0554;118.1869
Cement;0.90006;26.793;117.8104
Cement;0.35102;25.9673;117.3669
Cement;0.63004;25.9673;117.3669
Cement;1.40409;26.729;117.471
Cement;1.40409;25.0984;117.0374
Cement;0.91356;25.0984;117.0374
Cement;0.21151;25.1167;117.0627
Cement;0.63004;26.0953;116.1004
Cement;0.63004;26.729;117.471
Cement;0.27902;25.1733;117.0704
Cement;0.70205;26.1756;116.8173
Cement;1.40409;25.3521;117.3786
Cement;0.70205;25.7776;117.7216
Cement;0.045;37.4701;102.8976
Cement;0.11251;39.772;98.2901
Cement;0.09001;37.1814;104.0631
Cement;0.0675;40.2726;97.0436
Cement;0.70205;36.7364;103.2605
Cement;0.45003;34.7213;104.8909
Cement;0.072;36.7364;103.2605
Cement;0.13951;35.2176;106.6535
Cement;0.70205;35.8433;104.1126
Cement;0.27902;38.2459;101.9696
Cement;0.13951;37.1814;104.0631
Cement;0.13951;36.4085;104.1903
Cement;0.81005;35.6132;103.4426
Cement;0.35102;33.6553;105.5519
Cement;0.63004;36.8959;104.29
Cement;0.56254;35.2037;105.4858
Cement;0.27002;39.3125;101.1573
Cement;0.054;39.3125;101.1573
Cement;0.63004;36.0614;103.8342
Cement;0.35102;35.5426;106.6748
Cement;0.13501;34.5666;105.895
Cement;0.045;37.9292;102.6435
Cement;0.045;31.0181;113.1162
Cement;0.045;38.9559;100.4969
Cement;0.98106;23.3789;113.2194
Cement;1.40409;23.4245;111.512
Cement;0.13951;21.6096;110.2862
Cement;0.35102;22.1703;111.7915
Cement;0.70205;24.6586;116.1712
Cement;0.70205;24.6586;116.1712
Cement;0.42303;24.3782;116.1892
Cement;1.26458;23.7276;114.2549
Cement;0.27902;24.1374;115.7414
Cement;0.98106;22.928;112.0437
Cement;0.56254;23.1579;113.2732
Cement;0.13951;22.7885;114.4565
Cement;0.13951;24.6586;116.1712
Cement;0.25202;22.0697;111.5411
