SECTOR,value,LONGITUDE,LATITUDE
Cement,0.388569,9.695,59.05
Cement,0.194285,16.36,68.09
Cement,0.097142,16.4,56.35
Cement,0.194285,13.85,58.38
Cement,0.809519,18.8,57.71
Cement,0.161904,28.18,61.06
Cement,0.323808,0,60.3
Cement,0.679996,9.972,57.06
Cement,0.323808,-8.62,52.66
Cement,0.388569,-6.25,53.34
Cement,0.226665,-7.1,53.45
Cement,0.259046,-1.91,53.25
Cement,0.42095,-0.48,52.65
Cement,0.259046,-3.13,53.16
Cement,0.323808,-2.39,53.87
Cement,0.582854,-1.26,52.37
Cement,0.259046,-0.45,53.68
Cement,0.161904,-3.27,51.4
Cement,0.323808,-2.18,53
Cement,0.161904,-6.74,54.64
Cement,0.485711,-1.74,53.34
Cement,0.161904,-7,54.4
Cement,0.777138,10.46,51.35
Cement,0.129523,8.516,51.65
Cement,0.259046,8.048,49.59
Cement,0.323808,8.24,50.08
Cement,0.57314,7.866,52.17
Cement,0.278475,11.73,51.8
Cement,0.323808,9.72,48.32
Cement,0.388569,9.772,49.96
Cement,0.323808,10.15,48.67
Cement,0.356188,12.03,49.2
Cement,0.259046,8.691,49.34
Cement,0.323808,9.6,49.8
Cement,0.129523,8.754,51.71
Cement,0.485711,9.732,48.37
Cement,0.291427,12.16,47.79
Cement,0.194285,8.35,51.61
Cement,0.550473,9.964,52.31
Cement,0.485711,9.583,53.88
Cement,0.356188,8.792,48.22
Cement,0.453331,11.65,51.28
Cement,0.323808,9.966,53.45
Cement,0.178094,8.35,51.61
Cement,0.048571,6.758,50.34
Cement,0.323808,8.35,51.61
Cement,0.307617,8.04,51.75
Cement,0.615235,13.78,52.47
Cement,0.135999,11,48.88
Cement,0.323808,8.35,51.61
Cement,0.226665,9.716,52.36
Cement,0.097142,8.607,49.01
Cement,0.064762,9.533,50.58
Cement,0.161904,8.04,51.75
Cement,0.323808,8.025,51.83
Cement,0.291427,8.516,51.65
Cement,0.582854,5.683,50.85
Cement,0.809519,3.483,50.58
Cement,0.550473,4.009,50.47
Cement,0.259046,3.45,50.56
Cement,0.485711,5.566,50.63
Cement,0.323808,6.03,49.45
Cement,0.259046,6.5,46.51
Cement,0.291427,7.25,47.2
Cement,0.259046,9.533,46.93
Cement,0.291427,8.266,47.53
Cement,0.097142,7.016,47.03
Cement,0.194285,11.18,47.41
Cement,0.259046,13.79,47.91
Cement,0.161904,14,47.9
Cement,0.388569,16.6,47.96
Cement,0.161904,15.56,46.73
Cement,0.129523,10.63,47.54
Cement,0.259046,14.29,46.62
Cement,0.129523,15.34,47.2
Cement,0.097142,16.03,47.87
Cement,0.259046,13.36,47.76
Cement,0.42095,0.166,46.08
Cement,0.194285,3.002,47.08
Cement,0.259046,-0.36,45.21
Cement,0.259046,4.644,43.8
Cement,0.323808,4.585,48.72
Cement,0.064762,4.763,44.65
Cement,0.647615,1.81,48.99
Cement,0.178094,-0.25,49.23
Cement,0.129523,0.313,47.57
Cement,0.259046,6.967,48.69
Cement,0.097142,7.314,43.81
Cement,0.129523,4.088,47.8
Cement,0.323808,0.1,49.49
Cement,0.356188,0.101,45.6
Cement,0.388569,5.366,43.39
Cement,0.291427,4.683,44.54
Cement,0.226665,1.011,43.19
Cement,0.291427,3.043,43.02
Cement,0.518092,-1.02,48.11
Cement,0.129523,4.681,45.85
Cement,0.129523,7.24,47.62
Cement,0.226665,2.121,50.7
Cement,0.129523,5.561,47.12
Cement,0.129523,3.424,46.26
Cement,0.388569,7.365,43.8
Cement,0.647615,5.404,45.81
Cement,0.194285,5.683,45.23
Cement,0.323808,6.099,48.56
Cement,0.064762,-1.51,48.63
Cement,0.291427,15.21,37.25
Cement,0.226665,16.28,41.31
Cement,0.615235,12.71,42
Cement,0.550473,7.516,44.3
Cement,0.161904,9.7,40.58
Cement,0.42095,9.833,44.8
Cement,0.42095,16.58,38.91
Cement,0.323808,11.75,45.23
Cement,0.518092,15.8,40.63
Cement,0.356188,11.95,45.86
Cement,0.356188,9.7,45.05
Cement,0.453331,14.38,41.03
Cement,0.226665,12.73,42.73
Cement,0.323808,12.55,42.68
Cement,0.356188,8.65,45.88
Cement,0.42095,11.83,43.64
Cement,0.356188,18.16,40.16
Cement,0.518092,12.57,43.35
Cement,0.356188,14.73,36.92
Cement,0.485711,14.06,41.44
Cement,0.226665,12.65,45.96
Cement,0.323808,8.7,45.78
Cement,0.906661,9.483,45.68
Cement,0.485711,13.01,41.73
Cement,0.291427,13.25,38.2
Cement,0.485711,16.6,40.66
Cement,0.809519,10.23,45.53
