LATITUDE;LONGITUDE;SECTOR;value
59.0556;9.6958;Cement;0.388569
68.0932;16.369;Cement;0.194285
56.35;16.4;Cement;0.097142
58.3833;13.85;Cement;0.194285
57.7167;18.8;Cement;0.809519
61.0667;28.1833;Cement;0.161904
60.3;0;Cement;0.323808
57.0624;9.9725;Cement;0.679996
52.6653;-8.6238;Cement;0.323808
53.3478;-6.2597;Cement;0.388569
53.455;-7.101;Cement;0.226665
53.259;-1.911;Cement;0.259046
52.656;-0.484;Cement;0.42095
53.166;-3.133;Cement;0.259046
53.8711;-2.3916;Cement;0.323808
52.37;-1.26;Cement;0.582854
53.6833;-0.45;Cement;0.259046
51.405;-3.27;Cement;0.161904
53;-2.1833;Cement;0.323808
54.647;-6.745;Cement;0.161904
56.0027;-2.5169;Cement;0.323808
53.3473;-1.7455;Cement;0.485711
54.4;-7;Cement;0.161904
51.35;10.4667;Cement;0.777138
51.65;8.5167;Cement;0.129523
49.5922;8.0483;Cement;0.259046
50.0825;8.24;Cement;0.323808
52.175;7.8667;Cement;0.57314
51.8;11.7333;Cement;0.278475
48.3281;9.7206;Cement;0.323808
49.9603;9.7722;Cement;0.388569
48.6761;10.1544;Cement;0.323808
49.2;12.0333;Cement;0.356188
49.3481;8.6911;Cement;0.259046
49.8;9.6;Cement;0.323808
51.7181;8.7542;Cement;0.129523
48.3756;9.7325;Cement;0.485711
47.7989;12.1675;Cement;0.291427
51.6167;8.35;Cement;0.194285
52.3161;9.9642;Cement;0.550473
53.8833;9.5833;Cement;0.485711
48.2281;8.7928;Cement;0.356188
51.2831;11.65;Cement;0.453331
53.45;9.9667;Cement;0.323808
51.6167;8.35;Cement;0.178094
50.3419;6.7586;Cement;0.048571
51.6167;8.35;Cement;0.323808
51.755;8.0403;Cement;0.307617
52.4717;13.7844;Cement;0.615235
48.8833;11;Cement;0.135999
51.6167;8.35;Cement;0.323808
52.3667;9.7167;Cement;0.226665
49.0117;8.6075;Cement;0.097142
50.5833;9.5333;Cement;0.064762
51.755;8.0403;Cement;0.161904
51.8367;8.0256;Cement;0.323808
51.65;8.5167;Cement;0.291427
50.85;5.6833;Cement;0.582854
50.5833;3.4833;Cement;0.809519
50.4758;4.0094;Cement;0.550473
50.5667;3.45;Cement;0.259046
50.6333;5.5667;Cement;0.485711
49.4597;6.0306;Cement;0.323808
46.5167;6.5;Cement;0.259046
47.2;7.25;Cement;0.291427
46.9333;9.5333;Cement;0.259046
47.5333;8.2667;Cement;0.291427
47.0333;7.0167;Cement;0.097142
47.4167;11.1833;Cement;0.194285
47.9181;13.7994;Cement;0.259046
47.9067;14;Cement;0.161904
47.9667;16.6;Cement;0.388569
46.7372;15.5694;Cement;0.161904
47.5494;10.63;Cement;0.129523
46.6253;14.2962;Cement;0.259046
47.2064;15.3442;Cement;0.129523
47.8783;16.0364;Cement;0.097142
47.7671;13.3641;Cement;0.259046
46.0833;0.1667;Cement;0.42095
47.0834;3.0023;Cement;0.194285
