LATITUDE;LONGITUDE;SECTOR;value
33.6319;-87.0597;Power;20.635116
38.3722;-87.7661;Power;16.331848
41.8917;-83.3461;Power;15.39154
33.0583;-83.8072;Power;15.245856
29.4783;-95.6358;Power;15.173029
38.5583;-90.8361;Power;15.088101
36.9047;-111.3886;Power;14.418776
38.9347;-82.1158;Power;14.031383
32.2597;-94.5703;Power;13.831948
45.8831;-106.614;Power;13.826006
34.1256;-84.9192;Power;13.764238
38.4731;-81.8233;Power;13.35267
31.185;-96.4853;Power;13.340516
45.3792;-93.8958;Power;12.532773
39.3844;-80.3325;Power;12.2581
36.8006;-108.4386;Power;12.211468
29.9172;-96.7506;Power;11.799436
41.7378;-108.7875;Power;11.761611
39.2825;-96.1153;Power;11.433794
42.1103;-104.8828;Power;11.203246
40.6604;-79.3411;Power;11.059626
38.7497;-85.035;Power;10.865115
40.3842;-79.0611;Power;10.619049
37.9256;-87.0372;Power;10.378013
33.0917;-95.0417;Power;9.973959
40.2522;-80.6486;Power;9.957759
39.4472;-94.98;Power;9.897885
38.5267;-87.2525;Power;9.842012
28.9594;-82.7003;Power;9.643149
31.4219;-96.2525;Power;9.607627
36.3903;-87.6539;Power;9.534061
38.2081;-104.5747;Power;8.946292
30.5681;-97.0614;Power;8.897198
38.0531;-85.91;Power;8.515628
35.5975;-80.9658;Power;8.499315
40.6215;-95.7765;Power;8.476525
33.3692;-80.1119;Power;8.451826
36.2811;-80.0603;Power;8.404925
34.4236;-92.1392;Power;8.295528
31.8206;-96.0561;Power;8.259301
34.3186;-109.1636;Power;8.247411
39.1747;-111.0289;Power;8.201712
38.1306;-90.2625;Power;8.174468
47.3761;-101.1567;Power;8.115561
41.18;-95.8408;Power;8.083999
40.4627;-107.5912;Power;8.023657
39.5531;-92.6392;Power;7.956111
42.9103;-86.2036;Power;7.733812
47.2603;-93.6531;Power;7.711957
39.5035;-112.5811;Power;7.633181
38.205;-89.855;Power;7.537152
40.6344;-80.42;Power;7.531486
39.8297;-80.8153;Power;7.478299
38.5847;-85.4117;Power;7.464133
41.0808;-101.1408;Power;7.451051
26.6986;-80.3747;Power;7.436006
42.8445;-87.829;Power;7.423464
35.6733;-91.4083;Power;7.249144
39.3668;-81.2944;Power;7.241288
38.8689;-84.2286;Power;7.181499
29.7333;-81.6339;Power;7.175989
42.7748;-82.4945;Power;7.14005
37.1517;-88.775;Power;7.132473
35.7617;-95.2847;Power;7.026226
43.4864;-89.4203;Power;6.963721
39.2014;-79.2667;Power;6.808626
38.6361;-83.6939;Power;6.778607
38.9794;-81.9344;Power;6.734615
47.3714;-101.8344;Power;6.702369
31.0069;-88.0103;Power;6.668958
40.5308;-80.6311;Power;6.433424
36.5147;-89.5617;Power;6.431932
38.7;-83.8175;Power;6.335969
38.7383;-85.4192;Power;6.185381
31.395;-92.7167;Power;6.100835
31.4753;-96.9564;Power;6.06335
39.1131;-84.8031;Power;6.060207
42.5381;-87.9033;Power;6.049565
36.69;-108.4814;Power;6.025505
33.8244;-84.475;Power;6.007051
30.7261;-91.3669;Power;5.973432
46.7559;-122.8578;Power;5.95575
40.5408;-89.6786;Power;5.95061
29.3091;-98.3205;Power;5.939647
47.0664;-101.2139;Power;5.934333
38.9161;-82.1281;Power;5.86807
27.7944;-82.4036;Power;5.859397
33.0583;-94.844;Power;5.847701
41.2175;-87.0239;Power;5.847538
36.4833;-79.0731;Power;5.809997
39.7107;-79.9275;Power;5.647623
39.0586;-89.4031;Power;5.617762
36.3156;-86.4006;Power;5.60361
30.5335;-88.5574;Power;5.473364
39.9239;-87.4272;Power;5.437251
30.4311;-81.5508;Power;5.305365
35.8992;-84.5194;Power;5.183774
42.8457;-87.8294;Power;5.152539
28.4836;-81.1686;Power;5.150932
39.3792;-111.0781;Power;5.144447
40.511;-79.1968;Power;5.138353
38.9158;-90.2917;Power;5.106066
41.7572;-110.5986;Power;5.031025
42.8378;-105.7769;Power;5.00746
27.7886;-81.8694;Power;4.986959
35.22;-81.7594;Power;4.965024
34.1847;-102.5686;Power;4.894574
33.2442;-86.4567;Power;4.837058
39.0694;-87.5108;Power;4.834001
27.0536;-80.5628;Power;4.74415
39.5906;-89.4964;Power;4.736952
35.2972;-101.7475;Power;4.674135
32.6094;-85.0961;Power;4.615351
33.6446;-87.2003;Power;4.609194
37.3822;-77.3833;Power;4.527042
32.4607;-94.4852;Power;4.520314
38.9031;-84.8511;Power;4.441189
41.0961;-92.5556;Power;4.418849
37.2608;-86.9783;Power;4.342723
34.8422;-79.7444;Power;4.278136
34.9394;-110.3033;Power;4.275704
38.3472;-94.6389;Power;4.236605
29.3072;-98.3228;Power;4.220681
47.2819;-101.3194;Power;4.190598
38.6903;-83.4803;Power;4.168196
39.7078;-79.9588;Power;4.15218
39.1792;-76.5383;Power;4.123394
37.2103;-88.8606;Power;4.094353
43.715;-87.7094;Power;3.995606
33.655556;-93.813889;Power;3.97977
40.2217;-103.6803;Power;3.970908
29.9472;-90.1458;Power;3.929466
28.7128;-97.2142;Power;3.924304
28.8419;-81.3256;Power;3.912768
40.1842;-81.8811;Power;3.902165
44.8606;-89.6553;Power;3.862247
33.4124;-85.0345;Power;3.802692
27.7286;-81.9897;Power;3.743591
29.7153;-95.1361;Power;3.740688
40.0864;-109.2844;Power;3.713612
36.4537;-97.0527;Power;3.672804
42.7642;-82.4719;Power;3.671598
32.7563;-96.4916;Power;3.65106
35.6626;-89.9469;Power;3.63591
35.0742;-90.1439;Power;3.609577
41.3153;-91.0936;Power;3.492393
28.7044;-98.4781;Power;3.465519
27.6058;-82.3456;Power;3.44674
26.6967;-81.7831;Power;3.434356
38.8067;-87.2472;Power;3.430087
30.5661;-87.2289;Power;3.421553
33.2961;-92.5933;Power;3.418572
32.3478;-81.1828;Power;3.374851
36.8692;-78.7046;Power;3.368124
38.96986;-78.179995;Power;3.308214
42.3026;-83.154;Power;3.307674
44.3901;-105.4591;Power;3.282713
33.4082;-85.0399;Power;3.249278
43.5861;-84.2242;Power;3.192548
