names,Mar-20,Apr-20,May-20,Jun-20
Afghanistan,60,1,14,8
Albania,70,36,46,20
Algeria,85,59,61,33
Angola,52,4,49,37
Antarctica,78,65,55,61
Argentina,77,75,43,58
Armenia,16,73,58,2
Australia,100,38,36,59
Austria,6,61,80,28
Azerbaijan,9,44,52,8
Bahamas,96,14,10,1
Bangladesh,11,2,95,57
Belarus,72,61,50,54
Belgium,93,5,38,30
Belize,62,90,26,1
Benin,32,96,11,62
Bhutan,60,50,41,93
Bolivia,76,8,63,34
Bosnia and Herz.,76,96,85,6
Botswana,94,36,16,14
Brazil,69,23,84,82
Brunei,88,16,47,99
Bulgaria,17,30,3,16
Burkina Faso,11,31,50,8
Burundi,31,70,6,73
C̫te d'Ivoire,33,70,89,1
Cambodia,100,8,30,92
Cameroon,42,0,14,83
Canada,64,83,50,79
Central African Rep.,80,39,20,36
Chad,19,30,29,41
Chile,58,26,75,13
China,2,44,80,72
Colombia,80,31,22,43
Congo,26,54,86,6
Costa Rica,85,67,65,55
Croatia,52,53,56,10
Cuba,85,73,65,22
Cyprus,28,24,10,75
Czechia,54,90,21,78
Dem. Rep. Congo,20,21,21,9
Denmark,100,52,16,58
Djibouti,14,10,65,82
Dominican Rep.,20,67,30,59
Ecuador,80,2,39,31
Egypt,26,42,77,34
El Salvador,14,92,75,52
Eq. Guinea,92,98,7,65
Eritrea,2,7,36,38
Estonia,44,72,78,59
eSwatini,71,51,76,22
Ethiopia,25,91,83,90
Falkland Is.,21,42,15,53
Fiji,81,86,4,68
Finland,61,29,45,2
Fr. S. Antarctic Lands,41,64,24,93
France,76,27,70,85
Gabon,28,55,92,57
Gambia,15,77,59,28
Georgia,91,17,62,76
Germany,75,51,51,57
Ghana,38,65,33,77
Greece,98,60,42,36
Greenland,51,22,54,68
Guatemala,42,0,53,11
Guinea,66,65,72,66
Guinea-Bissau,76,82,47,43
Guyana,77,72,53,60
Haiti,90,19,52,10
Honduras,97,96,98,42
Hungary,55,49,11,47
Iceland,67,54,12,27
India,62,51,52,9
Indonesia,17,65,31,33
Iran,5,46,58,22
Iraq,0,97,93,15
Ireland,14,12,90,30
Israel,73,14,14,66
Italy,45,63,70,49
Jamaica,80,19,13,12
Japan,66,40,51,10
Jordan,68,32,81,93
Kazakhstan,26,38,6,29
Kenya,44,62,97,80
Kosovo,75,74,40,49
Kuwait,48,55,43,85
Kyrgyzstan,69,38,91,36
Laos,97,27,63,72
Latvia,98,18,63,26
Lebanon,33,13,53,48
Lesotho,0,63,43,56
Liberia,90,92,14,17
Libya,69,35,61,24
Lithuania,28,68,78,18
Luxembourg,46,86,94,62
Macedonia,36,29,75,84
Madagascar,67,13,61,16
Malawi,85,93,51,76
Malaysia,19,19,21,72
Mali,76,15,10,5
Mauritania,96,70,80,63
Mexico,39,47,47,33
Moldova,71,15,83,50
Mongolia,55,31,13,1
Montenegro,47,32,35,73
Morocco,4,90,18,54
Mozambique,26,90,79,90
Myanmar,83,50,66,45
N. Cyprus,0,53,19,73
Namibia,37,93,60,36
Nepal,93,85,89,29
Netherlands,88,35,60,33
New Caledonia,79,96,76,39
New Zealand,59,84,41,23
Nicaragua,55,53,58,64
Niger,45,2,8,100
Nigeria,55,63,38,42
North Korea,53,97,61,92
Norway,26,79,50,86
Oman,22,7,3,36
Pakistan,12,93,79,48
Palestine,9,57,70,60
Panama,3,22,43,12
Papua New Guinea,80,97,70,53
Paraguay,53,97,5,38
Peru,55,54,16,67
Philippines,75,4,10,54
Poland,97,71,63,44
Portugal,67,64,82,85
Puerto Rico,30,71,65,85
Qatar,23,7,23,61
Romania,49,28,63,99
Russia,37,13,92,38
Rwanda,41,94,26,95
S. Sudan,93,22,50,18
Saudi Arabia,18,14,19,13
Senegal,18,8,19,78
Serbia,69,65,73,94
Sierra Leone,41,6,80,14
Slovakia,45,44,84,49
Slovenia,47,10,90,77
Solomon Is.,52,39,60,71
Somalia,64,93,32,53
Somaliland,13,42,93,97
South Africa,16,13,6,15
South Korea,21,72,25,11
Spain,0,10,2,51
Sri Lanka,95,46,45,75
Sudan,95,6,61,27
Suriname,13,99,13,71
Sweden,7,53,84,73
Switzerland,98,34,26,45
Syria,11,13,43,82
Taiwan,34,71,59,73
Tajikistan,28,52,29,47
Tanzania,99,16,28,62
Thailand,66,70,7,1
Timor-Leste,1,68,1,89
Togo,10,16,93,23
Trinidad and Tobago,70,41,10,29
Tunisia,26,71,53,22
Turkey,35,61,65,27
Turkmenistan,33,61,5,17
Uganda,88,75,64,3
Ukraine,42,60,60,78
United Arab Emirates,32,69,61,11
United Kingdom,81,1,34,86
United States of America,39,96,17,91
Uruguay,41,84,34,36
Uzbekistan,82,53,62,69
Vanuatu,20,53,76,92
Venezuela,7,56,37,5
Vietnam,51,95,6,53
W. Sahara,75,8,93,4
Yemen,31,78,27,8
Zambia,65,60,74,13
Zimbabwe,0,15,46,86
