Code,2019,2040-STEPS,2070-STEPS,2040-SDS,2070-SDS
ALB,100,100,100,100,100
DZA,38,62,74,89,100
AGO,44,68,73,87,100
ARG,72,89,95,99,100
ARM,77,80,84,95,100
AUS,25,53,75,92,100
AUT,86,93,99,97,100
AZE,45,53,62,88,100
BHR,12,40,67,82,100
BGD,44,56,64,90,100
BLR,59,75,79,98,100
BEL,81,91,98,97,100
BEN,10,49,57,80,100
BOL,66,87,94,99,100
BIH,21,51,59,97,100
BWA,-54,12,27,65,100
BRA,93,97,99,99,100
BRN,17,29,44,86,100
BGR,54,90,100,98,100
KHM,53,60,69,92,100
CMR,67,81,85,93,100
CAN,86,90,91,98,100
CHL,24,62,100,91,100
CHN,23,52,80,89,100
COL,70,85,100,96,100
COG,59,76,80,91,100
CRI,99,100,100,100,100
CIV,65,80,83,92,100
HRV,85,97,100,99,100
CUB,59,83,93,98,100
CYP,33,85,100,97,100
CZE,52,78,96,91,100
PRK,79,83,86,96,100
COD,100,100,100,100,100
DNK,79,83,82,98,100
DOM,52,81,92,98,100
ECU,83,93,97,99,100
EGY,40,63,75,89,100
SLV,86,94,98,99,100
ERI,14,51,59,81,100
EST,18,63,92,85,100
ETH,100,100,100,100,100
FIN,85,88,87,98,100
MKD,34,59,65,97,100
FRA,95,99,100,99,100
GAB,35,63,69,85,100
GEO,90,91,93,98,100
DEU,66,91,99,94,100
GHA,75,86,88,94,100
GIB,21,51,59,97,100
GRC,47,76,95,91,100
GTM,68,87,95,99,100
HTI,29,72,88,97,100
HND,73,89,95,99,100
HUN,76,89,98,96,100
ISL,100,100,100,100,100
IND,10,38,48,90,100
IDN,11,44,77,88,100
IRN,33,54,75,86,100
IRQ,-32,9,50,72,100
IRL,68,86,97,94,100
ISR,45,54,53,93,100
ITA,76,93,99,95,100
JAM,50,80,92,98,100
JPN,56,71,88,92,100
JOR,44,61,79,88,100
KAZ,23,34,47,83,100
KEN,82,90,92,96,100
KOR,53,68,93,93,100
KWT,21,45,70,83,100
KGZ,94,95,96,99,100
LVA,86,94,99,98,100
LBN,8,37,65,81,100
LBY,21,51,66,86,100
LTU,93,97,99,99,100
LUX,85,93,99,97,100
MYS,24,35,49,87,100
MLT,63,92,100,98,100
MUS,14,51,59,81,100
MEX,51,74,95,91,100
MDA,48,68,73,98,100
MNG,-36,-7,12,75,100
MNE,58,74,78,98,100
MAR,22,52,67,86,100
MOZ,92,96,96,98,100
MMR,59,65,73,93,100
NAM,97,99,99,99,100
NPL,100,100,100,100,100
NLD,60,82,96,93,100
NZL,89,93,96,99,100
NIC,75,90,96,99,100
NER,-3,41,51,77,100
NGA,55,74,79,90,100
NOR,99,99,99,100,100
OMN,43,61,78,88,100
PAK,55,65,71,92,100
PAN,85,94,97,99,100
PRY,100,100,100,100,100
PER,83,93,97,99,100
PHL,19,31,46,86,100
POL,32,69,94,88,100
PRT,71,87,97,95,100
QAT,39,58,77,87,100
ROU,65,92,100,99,100
RUS,39,51,75,92,100
SAU,34,55,75,86,100
SEN,13,50,59,80,100
SRB,22,51,59,97,100
SGP,55,62,70,92,100
SVK,85,93,99,97,100
SVN,76,89,98,96,100
ZAF,-14,37,49,80,100
SSD,16,52,60,81,100
ESP,75,89,98,96,100
LKA,40,53,62,89,100
SDN,65,80,84,92,100
SUR,59,84,93,98,100
SWE,98,99,99,100,100
CHE,97,98,98,100,100
SYR,16,42,68,83,100
TJK,93,94,95,98,100
TZA,65,80,84,92,100
THA,44,52,63,90,100
TGO,41,66,72,87,100
TTO,54,82,92,98,100
TUN,47,68,78,90,100
TUR,48,57,56,94,100
TKM,-7,8,26,76,100
UKR,59,75,79,98,100
ARE,34,55,75,86,100
GBR,79,94,100,96,100
USA,54,67,91,93,100
URY,98,99,100,100,100
UZB,44,52,61,87,100
VEN,73,89,95,99,100
VNM,47,55,65,91,100
YEM,12,40,67,82,100
ZMB,82,90,91,96,100
ZWE,25,57,64,83,100
