variable,ISO,region,scenario,year,value
Need of heating only,WLF,Wallis and Futuna,0,2019,0.0
Need of heating only ,MSR,Montserrat,0,2019,0.0
Need of heating only ,MLI,Mali,0,2019,0.0
Need of heating only ,CUB,Cuba,0,2019,0.0
Need of heating only ,TGO,Togo,0,2019,0.0
Need of heating only ,UMI,United States Minor Outlying Islands,0,2019,0.0
Need of heating only ,BTN,Bhutan,0,2019,17.8
Need of heating only ,XKX,Kosovo,0,2019,0.0
Need of heating only ,NCL,New Caledonia,0,2019,0.0
Need of heating only ,BES,Sint Maarten,0,2019,0.0
Need of heating only ,JOR,Jordan,0,2019,0.0
Need of heating only ,VIR,United States Virgin Islands,0,2019,0.0
Need of heating only ,ZMB,Zambia,0,2019,0.0
Need of heating only ,GUY,Guyana,0,2019,0.0
Need of heating only ,KNA,Saint Kitts and Nevis,0,2019,0.0
Need of heating only ,SVK,Slovak Republic,0,2019,19.2
Need of heating only ,GAB,Gabon,0,2019,0.0
Need of heating only ,GRC,Greece,0,2019,0.0
Need of heating only ,GHA,Ghana,0,2019,0.0
Need of heating only ,JPN,Japan,0,2019,0.8
Need of heating only ,MDG,Madagascar,0,2019,0.0
Need of heating only ,NER,Niger,0,2019,0.0
Need of heating only ,DMA,Dominica,0,2019,0.0
Need of heating only ,JAM,Jamaica,0,2019,0.0
Need of heating only ,KHM,Cambodia,0,2019,0.0
Need of heating only ,LBN,Lebanon,0,2019,0.0
Need of heating only ,CZE,Czech Republic,0,2019,6.4
Need of heating only ,GRD,Grenada,0,2019,0.0
Need of heating only ,TON,Tonga,0,2019,0.0
Need of heating only ,MUS,Mauritius,0,2019,0.0
Need of heating only ,MAF,Saint Martin,0,2019,0.0
Need of heating only ,ABCD,ABCD,0,2019,0.0
Need of heating only ,HRV,Croatia,0,2019,0.0
Need of heating only ,SVN,Slovenia,0,2019,0.4
Need of heating only ,IDN,Indonesia,0,2019,0.0
Need of heating only ,ETH,Ethiopia,0,2019,0.1
Need of heating only ,DEU,Germany,0,2019,4.9
Need of heating only ,NIU,Niue,0,2019,0.0
Need of heating only ,PAK,Pakistan,0,2019,1.7
Need of heating only ,PLW,Palau,0,2019,0.0
Need of heating only ,FRO,Faroe Islands,0,2019,100.0
Need of heating only ,LCA,Saint Lucia,0,2019,0.0
Need of heating only ,SDN,Sudan,0,2019,0.0
Need of heating only ,SWE,Sweden,0,2019,100.0
Need of heating only ,LTU,Lithuania,0,2019,18.7
Need of heating only ,LKA,Sri Lanka,0,2019,0.0
Need of heating only ,KGZ,Kyrgyzstan,0,2019,44.5
Need of heating only ,URY,Uruguay,0,2019,0.0
Need of heating only ,ZAF,South Africa,0,2019,0.0
Need of heating only ,LVA,Latvia,0,2019,69.7
Need of heating only ,TKL,Tokelau,0,2019,0.0
Need of heating only ,NAM,Namibia,0,2019,0.0
Need of heating only ,LBY,Libya,0,2019,0.0
Need of heating only ,AUS,Australia,0,2019,0.7
Need of heating only ,SLE,Sierra Leone,0,2019,0.0
Need of heating only ,GNB,Guinea-Bissau,0,2019,0.0
Need of heating only ,ITA,Italy,0,2019,3.3
Need of heating only ,SAU,Saudi Arabia,0,2019,0.0
Need of heating only ,TCA,Turks and Caicos Islands,0,2019,0.0
Need of heating only ,DJI,Djibouti,0,2019,0.0
Need of heating only ,HND,Honduras,0,2019,0.0
Need of heating only ,BVT,Bouvet Island,0,2019,0.0
Need of heating only ,BFA,Burkina Faso,0,2019,0.0
Need of heating only ,SEN,Senegal,0,2019,0.0
Need of heating only ,VCT,Saint Vincent and the Grenadines,0,2019,0.0
Need of heating only ,CHE,Switzerland,0,2019,37.0
Need of heating only ,NRU,Nauru,0,2019,0.0
Need of heating only ,TUV,Tuvalu,0,2019,0.0
Need of heating only ,BLZ,Belize,0,2019,0.0
Need of heating only ,SLV,El Salvador,0,2019,0.0
Need of heating only ,SMR,San Marino,0,2019,0.0
Need of heating only ,KWT,Kuwait,0,2019,0.0
Need of heating only ,IRQ,Iraq,0,2019,0.0
Need of heating only ,AUT,Austria,0,2019,24.0
Need of heating only ,ATG,Antigua and Barbuda,0,2019,0.0
Need of heating only ,VNM,Viet Nam,0,2019,0.0
Need of heating only ,TZA,Tanzania,0,2019,0.0
Need of heating only ,DNK,Denmark,0,2019,99.2
Need of heating only ,CPV,Cabo Verde,0,2019,0.0
Need of heating only ,GNQ,Equatorial Guinea,0,2019,0.0
Need of heating only ,COG,Congo,0,2019,0.0
Need of heating only ,LSO,Lesotho,0,2019,7.5
Need of heating only ,NPL,Nepal,0,2019,2.4
Need of heating only ,ERI,Eritrea,0,2019,0.0
Need of heating only ,AND,Andorra,0,2019,100.0
Need of heating only ,LIE,Liechtenstein,0,2019,100.0
Need of heating only ,PYF,French Polynesia,0,2019,0.0
