variable,region,scenario,year,value
Needing both heating and cooling ,Asia Pacific,0,2019,33
Needing both heating and cooling ,Central & South America,0,2019,9
Needing both heating and cooling ,North America,0,2019,56
Needing both heating and cooling ,Eurasia,0,2019,57
Needing both heating and cooling ,Europe,0,2019,78
Needing both heating and cooling ,Middle East,0,2019,43
Needing both heating and cooling ,Africa,0,2019,4
Needing both heating and cooling ,World,0,2019,33
Needing both heating and cooling ,Asia Pacific,SDS,2040,30
Needing both heating and cooling ,Central & South America,SDS,2040,8
Needing both heating and cooling ,North America,SDS,2040,58
Needing both heating and cooling ,Eurasia,SDS,2040,66
Needing both heating and cooling ,Europe,SDS,2040,80
Needing both heating and cooling ,Middle East,SDS,2040,37
Needing both heating and cooling ,Africa,SDS,2040,3
Needing both heating and cooling ,World,SDS,2040,30
Needing both heating and cooling ,Asia Pacific,SDS,2070,26
Needing both heating and cooling ,Central & South America,SDS,2070,8
Needing both heating and cooling ,North America,SDS,2070,60
Needing both heating and cooling ,Eurasia,SDS,2070,67
Needing both heating and cooling ,Europe,SDS,2070,79
Needing both heating and cooling ,Middle East,SDS,2070,32
Needing both heating and cooling ,Africa,SDS,2070,2
Needing both heating and cooling ,World,SDS,2070,26
Needing both heating and cooling ,Asia Pacific,STEPS,2040,29
Needing both heating and cooling ,Central & South America,STEPS,2040,7
Needing both heating and cooling ,North America,STEPS,2040,57
Needing both heating and cooling ,Eurasia,STEPS,2040,71
Needing both heating and cooling ,Europe,STEPS,2040,82
Needing both heating and cooling ,Middle East,STEPS,2040,36
Needing both heating and cooling ,Africa,STEPS,2040,3
Needing both heating and cooling ,World,STEPS,2040,30
Needing both heating and cooling ,Asia Pacific,STEPS,2070,24
Needing both heating and cooling ,Central & South America,STEPS,2070,6
Needing both heating and cooling ,North America,STEPS,2070,56
Needing both heating and cooling ,Eurasia,STEPS,2070,81
Needing both heating and cooling ,Europe,STEPS,2070,81
Needing both heating and cooling ,Middle East,STEPS,2070,27
Needing both heating and cooling ,Africa,STEPS,2070,2
Needing both heating and cooling ,World,STEPS,2070,25
Needing high heating and low cooling,Asia Pacific,0,2019,5
Needing high heating and low cooling,Central & South America,0,2019,0
Needing high heating and low cooling,North America,0,2019,19
Needing high heating and low cooling,Eurasia,0,2019,25
Needing high heating and low cooling,Europe,0,2019,15
Needing high heating and low cooling,Middle East,0,2019,5
Needing high heating and low cooling,Africa,0,2019,0
Needing high heating and low cooling,World,0,2019,6
Needing high heating and low cooling,Asia Pacific,SDS,2040,5
Needing high heating and low cooling,Central & South America,SDS,2040,0
Needing high heating and low cooling,North America,SDS,2040,19
Needing high heating and low cooling,Eurasia,SDS,2040,33
Needing high heating and low cooling,Europe,SDS,2040,11
Needing high heating and low cooling,Middle East,SDS,2040,3
Needing high heating and low cooling,Africa,SDS,2040,0
Needing high heating and low cooling,World,SDS,2040,6
Needing high heating and low cooling,Asia Pacific,SDS,2070,4
Needing high heating and low cooling,Central & South America,SDS,2070,0
Needing high heating and low cooling,North America,SDS,2070,21
Needing high heating and low cooling,Eurasia,SDS,2070,34
Needing high heating and low cooling,Europe,SDS,2070,10
Needing high heating and low cooling,Middle East,SDS,2070,3
Needing high heating and low cooling,Africa,SDS,2070,0
Needing high heating and low cooling,World,SDS,2070,5
Needing high heating and low cooling,Asia Pacific,STEPS,2040,4
Needing high heating and low cooling,Central & South America,STEPS,2040,0
Needing high heating and low cooling,North America,STEPS,2040,18
Needing high heating and low cooling,Eurasia,STEPS,2040,37
Needing high heating and low cooling,Europe,STEPS,2040,9
Needing high heating and low cooling,Middle East,STEPS,2040,3
Needing high heating and low cooling,Africa,STEPS,2040,0
Needing high heating and low cooling,World,STEPS,2040,5
Needing high heating and low cooling,Asia Pacific,STEPS,2070,3
Needing high heating and low cooling,Central & South America,STEPS,2070,0
Needing high heating and low cooling,North America,STEPS,2070,17
Needing high heating and low cooling,Eurasia,STEPS,2070,45
Needing high heating and low cooling,Europe,STEPS,2070,5
Needing high heating and low cooling,Middle East,STEPS,2070,1
Needing high heating and low cooling,Africa,STEPS,2070,0
Needing high heating and low cooling,World,STEPS,2070,4
Needing moderate heating and moderate cooling,Asia Pacific,0,2019,8
Needing moderate heating and moderate cooling,Central & South America,0,2019,0
Needing moderate heating and moderate cooling,North America,0,2019,13
Needing moderate heating and moderate cooling,Eurasia,0,2019,11
Needing moderate heating and moderate cooling,Europe,0,2019,3
Needing moderate heating and moderate cooling,Middle East,0,2019,12
Needing moderate heating and moderate cooling,Africa,0,2019,0
Needing moderate heating and moderate cooling,World,0,2019,6
Needing moderate heating and moderate cooling,Asia Pacific,SDS,2040,6
Needing moderate heating and moderate cooling,Central & South America,SDS,2040,0
Needing moderate heating and moderate cooling,North America,SDS,2040,15
Needing moderate heating and moderate cooling,Eurasia,SDS,2040,13
Needing moderate heating and moderate cooling,Europe,SDS,2040,4
Needing moderate heating and moderate cooling,Middle East,SDS,2040,10
Needing moderate heating and moderate cooling,Africa,SDS,2040,0
Needing moderate heating and moderate cooling,World,SDS,2040,5
Needing moderate heating and moderate cooling,Asia Pacific,SDS,2070,5
Needing moderate heating and moderate cooling,Central & South America,SDS,2070,0
Needing moderate heating and moderate cooling,North America,SDS,2070,15
Needing moderate heating and moderate cooling,Eurasia,SDS,2070,12
Needing moderate heating and moderate cooling,Europe,SDS,2070,4
Needing moderate heating and moderate cooling,Middle East,SDS,2070,8
Needing moderate heating and moderate cooling,Africa,SDS,2070,0
Needing moderate heating and moderate cooling,World,SDS,2070,4
Needing moderate heating and moderate cooling,Asia Pacific,STEPS,2040,6
Needing moderate heating and moderate cooling,Central & South America,STEPS,2040,0
Needing moderate heating and moderate cooling,North America,STEPS,2040,16
Needing moderate heating and moderate cooling,Eurasia,STEPS,2040,13
Needing moderate heating and moderate cooling,Europe,STEPS,2040,5
Needing moderate heating and moderate cooling,Middle East,STEPS,2040,10
Needing moderate heating and moderate cooling,Africa,STEPS,2040,0
Needing moderate heating and moderate cooling,World,STEPS,2040,5
Needing moderate heating and moderate cooling,Asia Pacific,STEPS,2070,4
Needing moderate heating and moderate cooling,Central & South America,STEPS,2070,0
Needing moderate heating and moderate cooling,North America,STEPS,2070,17
Needing moderate heating and moderate cooling,Eurasia,STEPS,2070,10
Needing moderate heating and moderate cooling,Europe,STEPS,2070,6
Needing moderate heating and moderate cooling,Middle East,STEPS,2070,7
Needing moderate heating and moderate cooling,Africa,STEPS,2070,0
Needing moderate heating and moderate cooling,World,STEPS,2070,4
Needing low heating and moderate cooling,Asia Pacific,0,2019,7
Needing low heating and moderate cooling,Central & South America,0,2019,3
Needing low heating and moderate cooling,North America,0,2019,7
Needing low heating and moderate cooling,Eurasia,0,2019,6
Needing low heating and moderate cooling,Europe,0,2019,15
Needing low heating and moderate cooling,Middle East,0,2019,6
Needing low heating and moderate cooling,Africa,0,2019,2
Needing low heating and moderate cooling,World,0,2019,7
Needing low heating and moderate cooling,Asia Pacific,SDS,2040,6
Needing low heating and moderate cooling,Central & South America,SDS,2040,2
Needing low heating and moderate cooling,North America,SDS,2040,7
Needing low heating and moderate cooling,Eurasia,SDS,2040,6
Needing low heating and moderate cooling,Europe,SDS,2040,17
Needing low heating and moderate cooling,Middle East,SDS,2040,4
Needing low heating and moderate cooling,Africa,SDS,2040,2
Needing low heating and moderate cooling,World,SDS,2040,6
Needing low heating and moderate cooling,Asia Pacific,SDS,2070,5
Needing low heating and moderate cooling,Central & South America,SDS,2070,2
Needing low heating and moderate cooling,North America,SDS,2070,6
Needing low heating and moderate cooling,Eurasia,SDS,2070,7
Needing low heating and moderate cooling,Europe,SDS,2070,17
