variable,ISO,scenario,year,value
Need of heating only,WLF,0,2019,0
Need of heating only,FIN,0,2019,95
Need of heating only,FRA,0,2019,2
Need of heating only,MSR,0,2019,0
Need of heating only,MLI,0,2019,0
Need of heating only,CUB,0,2019,0
Need of heating only,TGO,0,2019,0
Need of heating only,UMI,0,2019,0
Need of heating only,BTN,0,2019,18
Need of heating only,XKX,0,2019,0
Need of heating only,NCL,0,2019,0
Need of heating only,BES,0,2019,0
Need of heating only,JOR,0,2019,0
Need of heating only,VIR,0,2019,0
Need of heating only,ZMB,0,2019,0
Need of heating only,GUY,0,2019,0
Need of heating only,KNA,0,2019,0
Need of heating only,SVK,0,2019,19
Need of heating only,GAB,0,2019,0
Need of heating only,GRC,0,2019,0
Need of heating only,GHA,0,2019,0
Need of heating only,JPN,0,2019,1
Need of heating only,MDG,0,2019,0
Need of heating only,NER,0,2019,0
Need of heating only,DMA,0,2019,0
Need of heating only,JAM,0,2019,0
Need of heating only,KHM,0,2019,0
Need of heating only,LBN,0,2019,0
Need of heating only,CZE,0,2019,6
Need of heating only,GRD,0,2019,0
Need of heating only,TON,0,2019,0
Need of heating only,MUS,0,2019,0
Need of heating only,MAF,0,2019,0
Need of heating only,ABCD,0,2019,0
Need of heating only,HRV,0,2019,0
Need of heating only,SVN,0,2019,0
Need of heating only,IDN,0,2019,0
Need of heating only,ETH,0,2019,0
Need of heating only,DEU,0,2019,5
Need of heating only,NIU,0,2019,0
Need of heating only,PAK,0,2019,2
Need of heating only,PLW,0,2019,0
Need of heating only,FRO,0,2019,100
Need of heating only,LCA,0,2019,0
Need of heating only,SDN,0,2019,0
Need of heating only,SWE,0,2019,100
Need of heating only,LTU,0,2019,19
Need of heating only,LKA,0,2019,0
Need of heating only,KGZ,0,2019,45
Need of heating only,URY,0,2019,0
Need of heating only,ZAF,0,2019,0
Need of heating only,LVA,0,2019,70
Need of heating only,TKL,0,2019,0
Need of heating only,NAM,0,2019,0
Need of heating only,LBY,0,2019,0
Need of heating only,AUS,0,2019,1
Need of heating only,SLE,0,2019,0
Need of heating only,GNB,0,2019,0
Need of heating only,ITA,0,2019,3
Need of heating only,SAU,0,2019,0
Need of heating only,TCA,0,2019,0
Need of heating only,DJI,0,2019,0
Need of heating only,HND,0,2019,0
Need of heating only,BVT,0,2019,0
Need of heating only,BFA,0,2019,0
Need of heating only,SEN,0,2019,0
Need of heating only,VCT,0,2019,0
Need of heating only,CHE,0,2019,37
Need of heating only,NRU,0,2019,0
Need of heating only,TUV,0,2019,0
Need of heating only,BLZ,0,2019,0
Need of heating only,SLV,0,2019,0
Need of heating only,SMR,0,2019,0
Need of heating only,KWT,0,2019,0
Need of heating only,IRQ,0,2019,0
Need of heating only,AUT,0,2019,24
Need of heating only,ATG,0,2019,0
Need of heating only,VNM,0,2019,0
Need of heating only,TZA,0,2019,0
Need of heating only,DNK,0,2019,99
Need of heating only,CPV,0,2019,0
Need of heating only,GNQ,0,2019,0
Need of heating only,COG,0,2019,0
Need of heating only,LSO,0,2019,7
Need of heating only,NPL,0,2019,2
Need of heating only,ERI,0,2019,0
Need of heating only,AND,0,2019,100
Need of heating only,LIE,0,2019,100
Need of heating only,PYF,0,2019,0
Need of heating only,MDA,0,2019,0
Need of heating only,TUR,0,2019,2
Need of heating only,CRI,0,2019,0
Need of heating only,CYP,0,2019,0
Need of heating only,ABCD-PSE,0,2019,0
Need of heating only,EST,0,2019,100
Need of heating only,TLS,0,2019,0
Need of heating only,SLB,0,2019,0
Need of heating only,HTI,0,2019,0
Need of heating only,MEX,0,2019,0
Need of heating only,USA,0,2019,2
Need of heating only,SXM,0,2019,0
Need of heating only,ISR,0,2019,0
Need of heating only,SOM,0,2019,0
Need of heating only,BRB,0,2019,0
Need of heating only,BEL,0,2019,4
Need of heating only,UKR,0,2019,2
Need of heating only,FSM,0,2019,0
Need of heating only,MYT,0,2019,0
Need of heating only,COM,0,2019,0
Need of heating only,VEN,0,2019,0
Need of heating only,TUN,0,2019,0
Need of heating only,HUN,0,2019,0
Need of heating only,SYR,0,2019,0
Need of heating only,ESP,0,2019,1
Need of heating only,THA,0,2019,0
Need of heating only,BEN,0,2019,0
Need of heating only,CHN,0,2019,2
Need of heating only,CYM,0,2019,0
Need of heating only,KAZ,0,2019,18
Need of heating only,PRI,0,2019,0
Need of heating only,BWA,0,2019,0
Need of heating only,PRT,0,2019,0
Need of heating only,KOR,0,2019,0
Need of heating only,GRL,0,2019,100
Need of heating only,GGY,0,2019,0
Need of heating only,BGD,0,2019,0
Need of heating only,SGP,0,2019,0
Need of heating only,BLM,0,2019,0
Need of heating only,JEY,0,2019,0
Need of heating only,TCD,0,2019,0
Need of heating only,NFK,0,2019,0
Need of heating only,ABCDE,0,2019,100
Need of heating only,IND,0,2019,1
Need of heating only,HMD,0,2019,0
Need of heating only,GMB,0,2019,0
Need of heating only,PAN,0,2019,0
Need of heating only,EGY,0,2019,0
Need of heating only,ABW,0,2019,0
Need of heating only,NIC,0,2019,0
Need of heating only,AGO,0,2019,0
Need of heating only,BDI,0,2019,0
Need of heating only,COD,0,2019,0
Need of heating only,VGB,0,2019,0
Need of heating only,BRA,0,2019,0
Need of heating only,COK,0,2019,0
Need of heating only,DZA,0,2019,0
Need of heating only,QAT,0,2019,0
Need of heating only,MKD,0,2019,0
Need of heating only,BGR,0,2019,2
Need of heating only,KIR,0,2019,0
Need of heating only,CAN,0,2019,47
Need of heating only,MYS,0,2019,0
Need of heating only,LBR,0,2019,0
Need of heating only,SGS,0,2019,0
Need of heating only,TJK,0,2019,16
Need of heating only,AFG,0,2019,13
Need of heating only,CMR,0,2019,0
Need of heating only,WSM,0,2019,0
Need of heating only,REU,0,2019,0
Need of heating only,ARE,0,2019,0
Need of heating only,MDV,0,2019,0
Need of heating only,GIN,0,2019,0
Need of heating only,MWI,0,2019,0
Need of heating only,PRY,0,2019,0
Need of heating only,BHS,0,2019,0
Need of heating only,GBR,0,2019,92
Need of heating only,BMU,0,2019,0
Need of heating only,MNP,0,2019,0
Need of heating only,GUM,0,2019,0
Need of heating only,UZB,0,2019,6
Need of heating only,OMN,0,2019,0
Need of heating only,GUF,0,2019,0
Need of heating only,ATF,0,2019,0
Need of heating only,SHN,0,2019,0
Need of heating only,ARG,0,2019,4
Need of heating only,BIH,0,2019,0
Need of heating only,MOZ,0,2019,0
Need of heating only,CHL,0,2019,23
Need of heating only,MAR,0,2019,0
Need of heating only,GTM,0,2019,0
Need of heating only,IOT,0,2019,0
Need of heating only,PHL,0,2019,0
Need of heating only,PRK,0,2019,5
Need of heating only,ZWE,0,2019,0
Need of heating only,NGA,0,2019,0
Need of heating only,MCO,0,2019,0
Need of heating only,MNG,0,2019,81
Need of heating only,KEN,0,2019,0
Need of heating only,CUW,0,2019,0
Need of heating only,GLP,0,2019,0
Need of heating only,NOR,0,2019,100
Need of heating only,MNE,0,2019,31
Need of heating only,STP,0,2019,0
Need of heating only,BOL,0,2019,44
Need of heating only,BRN,0,2019,0
Need of heating only,BHR,0,2019,0
Need of heating only,CXR,0,2019,0
Need of heating only,TKM,0,2019,0
Need of heating only,MMR,0,2019,0
Need of heating only,NZL,0,2019,11
Need of heating only,UGA,0,2019,0
Need of heating only,ECU,0,2019,18
Need of heating only,PCN,0,2019,0
Need of heating only,SUR,0,2019,0
Need of heating only,MHL,0,2019,0
Need of heating only,SYC,0,2019,0
Need of heating only,YEM,0,2019,0
Need of heating only,COL,0,2019,8
Need of heating only,ROU,0,2019,5
Need of heating only,SSD,0,2019,0
Need of heating only,PER,0,2019,28
Need of heating only,MTQ,0,2019,0
Need of heating only,IRL,0,2019,100
Need of heating only,RWA,0,2019,0
Need of heating only,AIA,0,2019,0
Need of heating only,GEO,0,2019,13
Need of heating only,NLD,0,2019,0
Need of heating only,IMN,0,2019,100
Need of heating only,ALB,0,2019,0
Need of heating only,ASM,0,2019,0
Need of heating only,SJM,0,2019,100
Need of heating only,FJI,0,2019,0
Need of heating only,VUT,0,2019,0
Need of heating only,ISL,0,2019,100
Need of heating only,SWZ,0,2019,0
Need of heating only,MLT,0,2019,0
Need of heating only,TTO,0,2019,0
Need of heating only,CAF,0,2019,0
Need of heating only,SPM,0,2019,0
Need of heating only,CIV,0,2019,0
Need of heating only,MRT,0,2019,0
Need of heating only,LAO,0,2019,0
Need of heating only,BLR,0,2019,11
Need of heating only,ESH,0,2019,0
Need of heating only,POL,0,2019,4
Need of heating only,LUX,0,2019,26
Need of heating only,IRN,0,2019,0
Need of heating only,SRB,0,2019,0
Need of heating only,PNG,0,2019,0
Need of heating only,DOM,0,2019,0
Need of heating only,WLF,SDS,2040,0
Need of heating only,FIN,SDS,2040,94
Need of heating only,FRA,SDS,2040,1
Need of heating only,MSR,SDS,2040,0
Need of heating only,MLI,SDS,2040,0
Need of heating only,CUB,SDS,2040,0
Need of heating only,TGO,SDS,2040,0
Need of heating only,UMI,SDS,2040,0
Need of heating only,BTN,SDS,2040,12
Need of heating only,XKX,SDS,2040,0
Need of heating only,NCL,SDS,2040,0
Need of heating only,BES,SDS,2040,0
Need of heating only,JOR,SDS,2040,0
Need of heating only,VIR,SDS,2040,0
Need of heating only,ZMB,SDS,2040,0
Need of heating only,GUY,SDS,2040,0
Need of heating only,KNA,SDS,2040,0
Need of heating only,SVK,SDS,2040,10
Need of heating only,GAB,SDS,2040,0
Need of heating only,GRC,SDS,2040,0
Need of heating only,GHA,SDS,2040,0
Need of heating only,JPN,SDS,2040,1
Need of heating only,MDG,SDS,2040,0
Need of heating only,NER,SDS,2040,0
Need of heating only,DMA,SDS,2040,0
Need of heating only,JAM,SDS,2040,0
Need of heating only,KHM,SDS,2040,0
Need of heating only,LBN,SDS,2040,0
Need of heating only,CZE,SDS,2040,2
Need of heating only,GRD,SDS,2040,0
Need of heating only,TON,SDS,2040,0
Need of heating only,MUS,SDS,2040,0
Need of heating only,MAF,SDS,2040,0
Need of heating only,ABCD,SDS,2040,0
Need of heating only,HRV,SDS,2040,0
Need of heating only,SVN,SDS,2040,0
Need of heating only,IDN,SDS,2040,0
Need of heating only,ETH,SDS,2040,0
Need of heating only,DEU,SDS,2040,2
Need of heating only,NIU,SDS,2040,0
Need of heating only,PAK,SDS,2040,1
Need of heating only,PLW,SDS,2040,0
Need of heating only,FRO,SDS,2040,100
Need of heating only,LCA,SDS,2040,0
Need of heating only,SDN,SDS,2040,0
Need of heating only,SWE,SDS,2040,100
Need of heating only,LTU,SDS,2040,10
Need of heating only,LKA,SDS,2040,0
