Border.point,variable,value
Almeria,Algeria,23796
Fernana,Algeria,134536
Mosonmagyarovar,Austria,26080
Murfeld,Austria,11657
Oberkappel,Austria,1048
Ruggel,Austria,451
Tarvisio,Austria,172000
Uberackern,Austria,5622
Uberackern II,Austria,16197
Kondratki,Belarus,201779
Kotlovka,Belarus,31250
Privalka,Belarus,90
Tietierowka,Belarus,534
Wysokoje,Belarus,19778
Blaregnies (H),Belgium,24331
Bras,Belgium,2949
Eynatten (EON/RWE),Belgium,6769
Eynatten (Sum),Belgium,17095
Eynatten (Wingas),Belgium,10328
Interconnector,Belgium,7378
Petange,Belgium,797
Quevy (H),Belgium,50784
s Gravenvoeren,Belgium,9219
Tasnieres (L),Belgium,34395
Zelzate (GTS),Belgium,7636
Zelzate (Zebra),Belgium,10725
Jidilovo,Bulgaria,861
Kula,Bulgaria,14502
Malkoclar,Bulgaria,76160
Not Elsewhere Specified,Croatia,2785
Brandov,Czech.Republic,1614
Hora svate Kateriny,Czech.Republic,21264
Laa,Czech.Republic,140
Lanzhot,Czech.Republic,27097
Moravia,Czech.Republic,1846
Olbernhau,Czech.Republic,3872
Waidhaus,Czech.Republic,144577
Dragor,Denmark,7681
Ellund,Denmark,5863
Northern Offshore Gas Transport (NOGAT),Denmark,5545
Alveringem,France,5
Biriatou,France,34
Larrau,France,17399
Not Elsewhere Specified,France,4461
Oltingue,France,18889
Turkgozu,Georgia,27422
Brandov,Germany,85160
Ellund,Germany,1461
Eynatten (EON/RWE),Germany,10706
Eynatten (Sum),Germany,12619
Eynatten (Wingas),Germany,1915
Finkenherd (EWE),Germany,152
Gubin,Germany,27
Hora svate Kateriny,Germany,9323
Kiefersfelden,Germany,1656
Lasow,Germany,7078
Mallnow (Frankfurt am Oder),Germany,14
Obergailbach,Germany,53207
Oberkappel,Germany,44934
Olbernhau,Germany,39219
Oude (H-Gas),Germany,60255
Oude (L-Gas),Germany,7251
Remich,Germany,3842
Uberackern II,Germany,4090
Waidhaus,Germany,11062
Wallbach,Germany,62753
Winterswijk,Germany,3401
Zevenaar,Germany,8558
Beregdaroc,Hungary,2132
Csanadpalota,Hungary,1239
Dravaszerdahely,Hungary,681
Kiskundorozsma,Hungary,13352
Velke Zlievce,Hungary,19
Dogubajazit,Iran,52227
Bizzarone Como,Italy,616
Gorizia,Italy,1227
Tarvisio,Italy,191
Karksi,Latvia,2491
Kiem_nai,Latvia,106
Korneti,Latvia,3392
Gela,Libya,43920
Adriatic LNG,Liquefied.Natural.Gas,36563
Barcelona,Liquefied.Natural.Gas,31569
Bilbao,Liquefied.Natural.Gas,20504
Cartagena,Liquefied.Natural.Gas,16534
Dragon LNG,Liquefied.Natural.Gas,6308
Fos sur Mer,Liquefied.Natural.Gas,45153
Gate,Liquefied.Natural.Gas,3265
Huelva,Liquefied.Natural.Gas,24518
Isle of Grain,Liquefied.Natural.Gas,23759
Izmir,Liquefied.Natural.Gas,12221
Klaipeda,Liquefied.Natural.Gas,412
Livorno,Liquefied.Natural.Gas,320
Marmara Ereglisi,Liquefied.Natural.Gas,34167
Montoir de Bretagne,Liquefied.Natural.Gas,22862
Murgardos,Liquefied.Natural.Gas,9537
Panigaglia,Liquefied.Natural.Gas,6362
Revithoussa,Liquefied.Natural.Gas,6211
Sagunto,Liquefied.Natural.Gas,19895
Sines,Liquefied.Natural.Gas,13610
South Hook,Liquefied.Natural.Gas,65725
Teesside,Liquefied.Natural.Gas,71
Zeebrugge (LNG),Liquefied.Natural.Gas,21741
Kiem_nai,Lithuania,255
Sakiai,Lithuania,12342
Tarifa,Morocco,59161
BBL,Netherlands,48401
Bocholtz,Netherlands,82339
Emden (EPT1),Netherlands,5522
Emden (NPT),Netherlands,321
Haanrade (RWE),Netherlands,141
Hilvarenbeek,Netherlands,66370
Obbicht,Netherlands,768
Oude (H-Gas),Netherlands,45920
Oude (L-Gas),Netherlands,31737
s Gravenvoeren,Netherlands,35796
Tegelen (OGE),Netherlands,98
Vlieghuis (RWE),Netherlands,937
Winterswijk,Netherlands,41061
Zandvliet (H),Netherlands,6540
Zandvliet (L),Netherlands,1084
Zelzate (GTS),Netherlands,8187
Zevenaar,Netherlands,56918
Dornum,Norway,131390
Dunkerque,Norway,104101
Easington,Norway,111341
Emden (EPT1),Norway,121706
Emden (NPT),Norway,43334
Nybro,Norway,1833
Snohvit,Norway,32785
St Fergus (Statfjord),Norway,33548
St Fergus (Vesterled),Norway,28385
Zeebrugge (ZPT),Norway,88207
Hermanowice,Poland,1948
Kamminke,Poland,125
Mallnow (Frankfurt am Oder),Poland,175536
Badajoz,Portugal,233
Tuy,Portugal,4
Csanadpalota,Romania,43
Negru Voda,Romania,108817
Ungheni,Romania,1
Imatra,Russia,25830
Korneti,Russia,14602
Narva,Russia,203
Nord Stream,Russia,100198
Samsun,Russia,85557
Varska,Russia,1643
Baumgarten,Slovak.Republic,251646
Budince,Slovak.Republic,11987
Lanzhot,Slovak.Republic,112739
Velke Zlievce,Slovak.Republic,21
Gorizia,Slovenia,523
Rogatec,Slovenia,6507
Badajoz,Spain,16284
Biriatou,Spain,139
Tuy,Spain,173
Griespass,Switzerland,64147
Not Elsewhere Specified,Switzerland,1570
Mazara del Vallo,Tunisia,119921
Kipi,Turkey,4274
Beregdaroc,Ukraine,43390
Drozdowicze,Ukraine,24236
Isaccea,Ukraine,118186
Mediesu Aurit,Ukraine,1824
Velke Kapusany,Ukraine,347888
BBL,United.Kingdom,3017
Interconnector,United.Kingdom,40158
Interfield transfer from Blane to Ula,United.Kingdom,43
Moffat,United.Kingdom,31200
WestGasTransport (WGT) Pipeline,United.Kingdom,10151
