borderpoint,exit,exit_ISO3,entry,entry_ISO3,total,lon,lat
Almeria,Algeria,DZA,Spain,ESP,23796,-2.4699896,36.8392791
Fernana,Algeria,DZA,Tunisia,TUN,134536,8.696111111,36.65555556
Oberkappel,Austria,AUT,Germany,DEU,1048,13.7716319,48.5527707
Uberackern,Austria,AUT,Germany,DEU,5622,12.8747486,48.1928972
Uberackern II,Austria,AUT,Germany,DEU,16197,12.8747486,48.2928972
Mosonmagyarovar,Austria,AUT,Hungary,HUN,26080,17.2689169,47.8681469
Tarvisio,Austria,AUT,Italy,ITA,172000,13.5799589,46.5044339
Murfeld,Austria,AUT,Slovenia,SVN,11657,15.6750397,46.7163493
Ruggel,Austria,AUT,Switzerland,CHE,451,9.5253426,47.2476193
Kotlovka,Belarus,BLR,Lithuania,LTU,31250,25.745242,54.717094
Privalka,Belarus,BLR,Lithuania,LTU,90,23.9184479,53.9442408
Kondratki,Belarus,BLR,Poland,POL,201779,23.910169,53.03333333
Tietierowka,Belarus,BLR,Poland,POL,534,23.881704,53.097903
Wysokoje,Belarus,BLR,Poland,POL,19778,23.3759718,52.367978
Blaregnies (H),Belgium,BEL,France,FRA,24331,3.8916,50.3578
Quevy (H),Belgium,BEL,France,FRA,50784,3.949875,50.3632054
Tasnieres (L),Belgium,BEL,France,FRA,34395,3.8367,50.3197
Eynatten (EON/RWE),Belgium,BEL,Germany,DEU,6769,6.0667,50.7
Eynatten (Sum),Belgium,BEL,Germany,DEU,17095,6.0667,50.7
Eynatten (Wingas),Belgium,BEL,Germany,DEU,10328,6.0667,50.7
Bras,Belgium,BEL,Luxembourg,LUX,2949,5.733533,50.316667
Petange,Belgium,BEL,Luxembourg,LUX,797,5.8805,49.55833
s Gravenvoeren,Belgium,BEL,Netherlands,NLD,9219,5.76031,50.75744
Zelzate (GTS),Belgium,BEL,Netherlands,NLD,7636,3.8119772,51.1987114
Zelzate (Zebra),Belgium,BEL,Netherlands,NLD,10725,3.8167,51.2
Interconnector,Belgium,BEL,United Kingdom,GBR,7378,-122.1138941,37.2295179
Jidilovo,Bulgaria,BGR,Former Yugoslav Republic of Macedonia,MKD,861,22.398599,42.2242526
Kula,Bulgaria,BGR,Greece,GRC,14502,22.951858,41.339948
Malkoclar,Bulgaria,BGR,Turkey,TUR,76160,27.017125,42.041755
Not Elsewhere Specified,Croatia,HRV,Italy,ITA,2785,13.590077,45.227573
Laa,Czech Republic,CZE,Austria,AUT,140,16.3874982,48.7188061
Brandov,Czech Republic,CZE,Germany,DEU,1614,13.41666667,50.62972222
Hora svate Kateriny,Czech Republic,CZE,Germany,DEU,21264,13.4367336,50.6063162
Olbernhau,Czech Republic,CZE,Germany,DEU,3872,13.34,50.6588625
Waidhaus,Czech Republic,CZE,Germany,DEU,144577,12.4962639,49.6417301
Moravia,Czech Republic,CZE,Poland,POL,1846,16.6067304,49.1950982
Lanzhot,Czech Republic,CZE,Slovak Republic,SVK,27097,16.9669527,48.72416667
Ellund,Denmark,DNK,Germany,DEU,5863,9.316666667,54.76666667
Northern Offshore Gas Transport (NOGAT),Denmark,DNK,Netherlands,NLD,5545,6.521099,53.411552
Dragor,Denmark,DNK,Sweden,SWE,7681,12.6664,55.5945
Alveringem,France,FRA,Belgium,BEL,5,2.7167,51.0167
Biriatou,France,FRA,Spain,ESP,34,1.74306,43.33333
Larrau,France,FRA,Spain,ESP,17399,-0.9640472,43.0107711
Not Elsewhere Specified,France,FRA,Switzerland,CHE,4461,13.590077,45.227573
Oltingue,France,FRA,Switzerland,CHE,18889,7.3925,47.4922
Turkgozu,Georgia,GEO,Turkey,TUR,27422,42.8202939,41.587425
Kiefersfelden,Germany,DEU,Austria,AUT,1656,12.1833,47.6167
Oberkappel,Germany,DEU,Austria,AUT,44934,13.7716319,48.5527707
Uberackern II,Germany,DEU,Austria,AUT,4090,12.8747486,48.2928972
Eynatten (EON/RWE),Germany,DEU,Belgium,BEL,10706,6.0667,50.7
Eynatten (Sum),Germany,DEU,Belgium,BEL,12619,6.0667,50.7
Eynatten (Wingas),Germany,DEU,Belgium,BEL,1915,6.0667,50.7
Brandov,Germany,DEU,Czech Republic,CZE,85160,13.41666667,50.62972222
Hora svate Kateriny,Germany,DEU,Czech Republic,CZE,9323,13.4367336,50.6063162
Olbernhau,Germany,DEU,Czech Republic,CZE,39219,13.34,50.6588625
Waidhaus,Germany,DEU,Czech Republic,CZE,11062,12.4962639,49.6417301
Ellund,Germany,DEU,Denmark,DNK,1461,9.316666667,54.76666667
Obergailbach,Germany,DEU,France,FRA,53207,7.218626,49.117825
Remich,Germany,DEU,Luxembourg,LUX,3842,6.3680482,49.5444392
Oude (H-Gas),Germany,DEU,Netherlands,NLD,60255,7.205,53.2019
Oude (L-Gas),Germany,DEU,Netherlands,NLD,3051,7.205,53.3019
Oude (L-Gas),Germany,DEU,Netherlands,NLD,4200,7.205,53.3019
Winterswijk,Germany,DEU,Netherlands,NLD,3401,6.720509,51.9713139
Zevenaar,Germany,DEU,Netherlands,NLD,8558,6.076959,51.9294445
Finkenherd (EWE),Germany,DEU,Poland,POL,152,14.4892324,52.2577475
Gubin,Germany,DEU,Poland,POL,27,14.7284576,51.9489824
Lasow,Germany,DEU,Poland,POL,7078,15.097319,51.2445632
Mallnow (Frankfurt am Oder),Germany,DEU,Poland,POL,14,14.4924285,52.4615586
Wallbach,Germany,DEU,Switzerland,CHE,62753,7.9042193,47.5591058
Dravaszerdahely,Hungary,HUN,Croatia,HRV,681,18.1,45.5
Csanadpalota,Hungary,HUN,Romania,ROU,1239,20.73,46.25
Kiskundorozsma,Hungary,HUN,Serbia,SRB,13352,20.063011,46.2730809
Velke Zlievce,Hungary,HUN,Slovak Republic,SVK,19,19.4540335,48.2005363
Beregdaroc,Hungary,HUN,Ukraine,UKR,2132,22.533333,48.2
Dogubajazit,Iran,IRN,Turkey,TUR,52227,44.068778,39.547074
Tarvisio,Italy,ITA,Austria,AUT,191,13.5799589,46.5044339
Gorizia,Italy,ITA,Slovenia,SVN,1227,13.6201754,45.9401812
Bizzarone Como,Italy,ITA,Switzerland,CHE,616,8.95,45.833
Karksi,Latvia,LVA,Estonia,EST,2491,25.5856479,58.116204
Kiem_nai,Latvia,LVA,Lithuania,LTU,106,24.2909849,56.2502439
Korneti,Latvia,LVA,Russia,RUS,3392,26.92,57.5928519
Gela,Libya,LBY,Italy,ITA,43920,14.2403537,37.0741526
Zeebrugge (LNG),Liquefied Natural Gas,N/A,Belgium,BEL,21741,3.2068507,51.3189468
Fos sur Mer,Liquefied Natural Gas,N/A,France,FRA,45153,4.945711,43.437882
Montoir de Bretagne,Liquefied Natural Gas,N/A,France,FRA,22862,-2.150431,47.327052
Revithoussa,Liquefied Natural Gas,N/A,Greece,GRC,6211,23.4010331,37.9615821
Adriatic LNG,Liquefied Natural Gas,N/A,Italy,ITA,36563,12.247078,45.057529
Livorno,Liquefied Natural Gas,N/A,Italy,ITA,320,10.3105674,43.548473
Panigaglia,Liquefied Natural Gas,N/A,Italy,ITA,6362,9.825746,44.0792928
Klaipeda,Liquefied Natural Gas,N/A,Lithuania,LTU,412,21.1442794,55.7032948
Gate,Liquefied Natural Gas,N/A,Netherlands,NLD,3265,4.4777325,51.9244201
Sines,Liquefied Natural Gas,N/A,Portugal,PRT,13610,-8.8608907,37.9571555
Barcelona,Liquefied Natural Gas,N/A,Spain,ESP,31569,2.1522,41.3375
Bilbao,Liquefied Natural Gas,N/A,Spain,ESP,20504,-3.015602,43.327182
Cartagena,Liquefied Natural Gas,N/A,Spain,ESP,16534,-0.9875,37.58944444
Huelva,Liquefied Natural Gas,N/A,Spain,ESP,24518,-6.9447224,37.261421
Murgardos,Liquefied Natural Gas,N/A,Spain,ESP,9537,-8.2558155,43.4599466
Sagunto,Liquefied Natural Gas,N/A,Spain,ESP,19895,-0.2784385,39.6798633
Izmir,Liquefied Natural Gas,N/A,Turkey,TUR,12221,27.142826,38.423734
Marmara Ereglisi,Liquefied Natural Gas,N/A,Turkey,TUR,34167,27.9014654,41.041446
Dragon LNG,Liquefied Natural Gas,N/A,United Kingdom,GBR,6308,5.0427,51.7142
Isle of Grain,Liquefied Natural Gas,N/A,United Kingdom,GBR,23759,0.73,51.4602627
South Hook,Liquefied Natural Gas,N/A,United Kingdom,GBR,65725,-5.042697,51.714306
Teesside,Liquefied Natural Gas,N/A,United Kingdom,GBR,71,-1.23394,54.5728978
Kiem_nai,Lithuania,LTU,Latvia,LVA,255,24.2909849,56.2502439
Sakiai,Lithuania,LTU,Russia,RUS,12342,23.04802,54.952671
Tarifa,Morocco,MAR,Spain,ESP,59161,-5.6044497,36.0143209
Hilvarenbeek,Netherlands,NLD,Belgium,BEL,66370,5.1384062,51.4833
Obbicht,Netherlands,NLD,Belgium,BEL,768,5.7812383,51.0280231
s Gravenvoeren,Netherlands,NLD,Belgium,BEL,35796,5.76031,50.75744
Zandvliet (H),Netherlands,NLD,Belgium,BEL,6540,5.12614,51.23807
Zandvliet (L),Netherlands,NLD,Belgium,BEL,1084,5.12614,51.23807
Zelzate (GTS),Netherlands,NLD,Belgium,BEL,8187,3.8119772,51.1987114
Bocholtz,Netherlands,NLD,Germany,DEU,82339,5.9658,50.8166163
Haanrade (RWE),Netherlands,NLD,Germany,DEU,141,6.0758651,50.8815011
Oude (H-Gas),Netherlands,NLD,Germany,DEU,45920,7.205,53.2019
Oude (L-Gas),Netherlands,NLD,Germany,DEU,31737,7.205,53.3019
Tegelen (OGE),Netherlands,NLD,Germany,DEU,98,6.1373536,51.3437209
Vlieghuis (RWE),Netherlands,NLD,Germany,DEU,937,6.8384544,52.6605318
Winterswijk,Netherlands,NLD,Germany,DEU,41061,6.720509,51.9713139
Zevenaar,Netherlands,NLD,Germany,DEU,56918,6.076959,51.9294445
Emden (EPT1),Netherlands,NLD,Norway,NOR,5522,7.2061,53.3669
Emden (NPT),Netherlands,NLD,Norway,NOR,321,7.2061,53.3669
BBL,Netherlands,NLD,United Kingdom,GBR,48401,4.6194,52.4586
Zeebrugge (ZPT),Norway,NOR,Belgium,BEL,88207,3.2068507,51.3189468
Nybro,Norway,NOR,Denmark,DNK,1833,8.198238,55.816227
Dunkerque,Norway,NOR,France,FRA,104101,2.3775,51.0383
Dornum,Norway,NOR,Germany,DEU,131390,7.4167,53.65
Emden (EPT1),Norway,NOR,Germany,DEU,51822,7.2061,53.3669
Emden (NPT),Norway,NOR,Germany,DEU,14320,7.2061,53.3669
Snohvit,Norway,NOR,Liquefied Natural Gas,N/A,32785,11.9740511,60.2066763
Emden (EPT1),Norway,NOR,Netherlands,NLD,69884,7.2061,53.3669
Emden (NPT),Norway,NOR,Netherlands,NLD,29014,7.2061,53.3669
Easington,Norway,NOR,United Kingdom,GBR,111341,-1.3525286,54.7809887
St Fergus (Statfjord),Norway,NOR,United Kingdom,GBR,33548,-1.838958,57.557307
St Fergus (Vesterled),Norway,NOR,United Kingdom,GBR,28385,-1.838958,57.657307
Kamminke,Poland,POL,Germany,DEU,125,14.2064738,53.8701854
Mallnow (Frankfurt am Oder),Poland,POL,Germany,DEU,175536,14.4924285,52.4615586
Hermanowice,Poland,POL,Ukraine,UKR,1948,22.8148987,49.7230552
Badajoz,Portugal,PRT,Spain,ESP,233,-7.0084523,38.8789
Tuy,Portugal,PRT,Spain,ESP,4,-8.843,42.11
Negru Voda,Romania,ROU,Bulgaria,BGR,108817,28.2176216,43.8155851
Csanadpalota,Romania,ROU,Hungary,HUN,43,20.73,46.25
Ungheni,Romania,ROU,Moldova,MDA,1,27.8792064,47.307319
Narva,Russia,RUS,Estonia,EST,203,28.1791333,59.3796798
Varska,Russia,RUS,Estonia,EST,1643,27.6330119,57.9578958
Imatra,Russia,RUS,Finland,FIN,25830,28.7720669,61.1704554
Nord Stream,Russia,RUS,Germany,DEU,100198,13.427395,54.132926
Korneti,Russia,RUS,Latvia,LVA,14602,26.92,57.5928519
Samsun,Russia,RUS,Turkey,TUR,85557,36.3360667,41.2797031
Baumgarten,Slovak Republic,SVK,Austria,AUT,251646,16.5013029,47.7380714
Lanzhot,Slovak Republic,SVK,Czech Republic,CZE,112739,16.9669527,48.72416667
Velke Zlievce,Slovak Republic,SVK,Hungary,HUN,21,19.4540335,48.2005363
Budince,Slovak Republic,SVK,Ukraine,UKR,11987,22.15,48.533333
Rogatec,Slovenia,SVN,Croatia,HRV,6507,15.7000313,46.2258891
Gorizia,Slovenia,SVN,Italy,ITA,523,13.6201754,45.9401812
Biriatou,Spain,ESP,France,FRA,139,1.74306,43.33333
Badajoz,Spain,ESP,Portugal,PRT,16284,-7.0084523,38.8789
Tuy,Spain,ESP,Portugal,PRT,173,-8.843,42.11
Not Elsewhere Specified,Switzerland,CHE,France,FRA,1570,13.590077,45.227573
Griespass,Switzerland,CHE,Italy,ITA,64147,8.3666667,46.45
Mazara del Vallo,Tunisia,TUN,Italy,ITA,119921,12.5833,37.6550933
Kipi,Turkey,TUR,Greece,GRC,4274,26.3069723,40.9536001
Beregdaroc,Ukraine,UKR,Hungary,HUN,43390,22.533333,48.2
Drozdowicze,Ukraine,UKR,Poland,POL,24236,22.8833,49.7
Isaccea,Ukraine,UKR,Romania,ROU,118186,28.4597,45.2697
