name,ISO3,lon,lat
Austria,AUT,14.78046256,47.69977491
Belgium,BEL,4.864155415,50.50348206
Bulgaria,BGR,25.19189629,42.72438482
Belarus,BLR,27.98576742,53.71983752
Switzerland,CHE,8.450110869,46.82297449
Czech Republic,CZE,15.53142738,49.80026456
Germany,DEU,10.56953322,51.16623382
Denmark,DNK,9.202974158,55.93364831
Algeria,DZA,0.614155231,28.0715874
Spain,ESP,-3.4692938,39.89310385
Estonia,EST,25.48405617,58.61165381
Finland,FIN,27.55134267,64.95644391
France,FRA,9.072207177,42.18109118
United Kingdom,GBR,-1.91552148,54.30762431
Georgia,GEO,43.67533736,42.31842753
Greece,GRC,21.58119099,39.71184971
Croatia,HRV,15.34117275,44.74647875
Hungary,HUN,19.1372273,47.16442951
Ireland,IRL,-8.007700446,53.4149487
Iran,IRN,54.13338218,32.41314201
Italy,ITA,12.68232471,42.50245184
Libya,LBY,17.24016379,26.3083336
Lithuania,LTU,24.173419,55.17008378
Luxembourg,LUX,6.082987573,49.81307125
Latvia,LVA,24.40048466,56.87576073
Morocco,MAR,-6.211510829,31.78772358
Moldova,MDA,28.83430869,46.99600337
Netherlands,NLD,5.515399956,52.10755781
Norway,NOR,12.66272154,64.55543029
Poland,POL,19.15621438,51.9154574
Portugal,PRT,-8.275900781,39.55529266
Romania,ROU,24.305777,45.93852415
Russia,RUS,88.39929835,59.46859426
Serbia,SRB,21.00467026,44.20537993
Slovak Republic,SVK,19.6366648,48.67421305
Slovenia,SVN,14.62528747,46.15133689
Sweden,SWE,14.89942258,62.19330904
Tunisia,TUN,8.875653987,33.80444764
Turkey,TUR,35.49548383,38.95101273
Ukraine,UKR,33.90278896,48.38306852
Former Yugoslav Republic of Macedonia,MKD,21.7453485,41.61252509
Almeria,,-2.4699896,36.8392791
Alveringem,,2.7167,51.0167
Badajoz,,-7.0084523,38.8789
Baumgarten,,16.5013029,47.7380714
BBL,,4.6194,52.4586
Beregdaroc,,22.533333,48.2
Biriatou,,1.74306,43.33333
Bizzarone Como,,8.95,45.833
Blaregnies (H),,3.8916,50.3578
Bocholtz,,5.9658,50.8166163
Brandov,,13.41666667,50.62972222
Bras,,5.733533,50.316667
Budince,,22.15,48.533333
Csanadpalota,,20.73,46.25
Dogubajazit,,44.068778,39.547074
Dornum,,7.4167,53.65
Dragor,,12.6664,55.5945
Dravaszerdahely,,18.1,45.5
Drozdowicze,,22.8833,49.7
Dunkerque,,2.3775,51.0383
Easington,,-1.3525286,54.7809887
Ellund,,9.316666667,54.76666667
Emden (EPT1),,7.2061,53.3669
Emden (NPT),,7.2061,53.3669
Eynatten (EON/RWE),,6.0667,50.7
Eynatten (Sum),,6.0667,50.7
