country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Afghanistan,997078.6,923119.3,968212.5,987914.8,985788.25,1070268.2,1007197.44,935346.3,694764.75,907980,780923.06,892541.06,841087.44,761231,581115.4,652513.2,950682.94,1111434.2,1085853.6,1054105.4,1050546.1,1098513.6,994893.4,912658.5,1006139.06,1052775.8,1076037.5,1165882.1,831576.3,1149623
Aland,643757.4,630180.25,657057.9,596258.06,337929.97,701042.3,389069.6,243403.33,251828.3,283106.34,606896.9,710272.56,637783.1,582846.06,790981.3,805175.1,823835.44,844265.5,683650.06,784823.8,819510.94,697573.7,867496.94,892005.6,881792.25,760820.06,893707.8,917424.44,928726.7,666494.25
Albania,957743.3,844854.5,607363.4,762537.3,286466.9,730210.1,664971.06,395650.8,363923.7,497533.62,792009.56,698931.4,715247.8,627822.06,617262.44,891053.44,870101.1,914078.4,910217.56,1032437.5,835036.8,906176.4,827381.5,1003846.1,919032.3,1031328.7,671446.3,1073430.2,795638.5,756133.4
Algeria,1000844.8,1045963.56,940053.3,854361.4,931980.75,1040634.8,1087916.4,1103482,1114681.1,1117119.4,1124043.6,1113269.8,1105952.6,1169177.1,1166389.9,1150347,1167590.4,1136446.2,1135137,1139773.6,1093691.1,1079634.9,1117681.6,1131984.2,1172831.5,1152397.4,1135526.6,1117471.8,1150833.1,1162031.9
Andorra,752523.8,509889.3,424631.44,1022420.1,706313.3,628519.25,835590.06,758008.4,709261.8,909840.8,734982.3,1075062.2,1139195.8,668981.4,897041.7,494054.8,1057543.1,711771.4,860569.6,872582.75,582072.25,767261.06,645837.75,771357.8,804339.1,840970.56,715547,1046029.4,961829.25,1158683.1
Angola,987320.25,982074.6,933941.56,937971.1,852728.56,849882.06,651930,752980.4,865637.6,723935,660837.6,776672.94,787648.9,772878.3,763975.5,813646.6,628268.5,863907.56,861483.56,843370.2,737760.9,735180.56,840254.1,829508.2,769667.25,806090.94,816930.06,827024.06,792713.44,780948.4
Anguilla,1018183.5,949437.44,976132.7,1066403.2,957685.75,1000568.25,1021129.75,1092638.9,997449.25,1077108.1,1013634,1047537.75,1068364.9,1122280.4,1005320,967309.8,1069729.9,1125210.4,1078153,1011073.25,1061585.6,1144292,1111843.6,1134292.9,1082606.9,1128575.2,1075535,1061202.6,1124162.5,1053512.5
Antigua and Barbuda,1049296.4,957221.5,929720.44,992890.3,929768.4,1036812.3,1019875.9,1084599.2,987795.4,1043024.4,1041093.6,995031.25,1015448.7,1105655.1,1003277.56,1013602.25,1063619.1,1131241.2,1113338.2,1013329.5,1051602.6,1018076.75,1131174.4,1020619.9,1060405.6,1015683.75,971293.7,998361.5,1109250.6,956517.5
Argentina,548437.1,686019.75,725747.7,650905.5,702797.25,771448.94,758769.9,745012,724138.44,661161.5,669575.5,664365.75,663585.7,662605.8,569400.5,601745.4,607737.6,571268.44,577793.5,525925.1,505538.06,454485.8,518164.97,399809.94,332670.56,337536.84,440501.72,582056.5,558171.1,440404.56
Armenia,608957.5,669602.56,738878.1,774971.4,827154.9,403576.56,833195.3,788304.8,881546.75,906351.56,954388.3,1021132.4,1001379.1,1052240.8,970329.7,643368.56,496753.6,863344.75,634230.4,587920.3,782224.06,637515.3,892948.6,1007785.44,1010820.44,1102013.4,1126409.4,1065337.2,978027.2,1088259.1
Aruba,927644.75,999238.56,1013264.56,1022445.7,1065524.9,1038600.06,1022760.2,992798.56,1021323.94,1081479.8,1068479.6,1090168.4,1007005.3,995044.6,1060091.9,1018377.7,1097500.1,966787.44,834383.94,868358.94,1018273.7,1024642.44,1035837.06,981910.44,701272,1052122.9,1035276.25,1108155.6,1087276.6,1078979.2
Australia,903620.9,891832.1,875752.75,857306.4,848640.1,854664.06,850693.1,824577.8,797202.06,822293.6,821908.56,778743.8,779617.2,754703.6,759861.7,791395.25,786166.25,772102.6,744282.2,717913.56,715449.2,714381.25,723313.5,721674.25,713230.4,682486.06,734666.3,711825.2,648616.56,597140.3
Austria,796352.5,775050.1,732076.2,653950.2,417257.78,590829.94,679953.94,499052.4,612087,440285.66,277526.25,572865.8,624371,386899.44,826900.3,923779.3,909555.5,845722.44,1001691.25,1041728.8,1031012.7,997166.8,517815.53,788870.75,966391.6,649532.56,737224.4,631775.44,463994.6,375778.4
Azerbaijan,364312.4,808965.94,667772.8,650865.2,853078.75,435136.72,718382.3,666166.5,661665.8,852405.94,872265.2,910689.56,883238.8,998245.8,933463.94,738106.25,454000.75,786210.94,380075.2,420292.03,649639.8,512510.78,744977.9,981664.9,909860.8,999250.25,1073137.1,1056283.6,1013998.75,948768.56
Bahamas,1006241.8,1001436.44,961907.5,923275.56,893843.1,891965,980039.6,984964.94,913314.56,633307.75,916302.7,991757.25,1020604.3,1031020.56,951419.75,1077709.8,977705.3,1011193.5,1015238.25,793141.1,1037717.94,1116794.6,1059598.5,1013877.7,1068853,1025851.2,1032855.25,932126.3,920351.8,837342.8
Bahrain,809941.7,643929,973627,999825.25,817690.75,980550.9,816248.56,1012936.2,877904.56,914567.3,718283.25,841660.94,504532.03,1098706.5,1123471.6,1070627.2,1099826.9,1014141.25,966705.75,1024070,925196.4,949860.6,1126780.9,1139455.2,1141225.1,970045.2,990962.7,1020293.75,1101468.1,1113895.6
Bangladesh,628669.06,647302,710788.94,704011.25,593053.44,802960.1,772997.8,712285.3,564214.8,616203.56,824812.25,838797.6,891585.8,927111.5,841333.44,787841,944380.2,1064305.9,999234.06,1036235.56,1005194.4,966880.56,1035218.7,1046256.25,1023452.06,973960.8,808006.5,797174.4,873022.3,881777.4
Barbados,1063608.1,984603.06,1025868.1,1018494.2,934615.7,973074.3,917822.3,930650.8,929634.5,944802.94,1002341.9,905919.6,952010.06,1025908.06,996237.75,1007517.6,1034906.3,983850.5,970858.4,935650.1,1051367.4,1102199.4,1030327.44,1065981.9,802719.4,971881.7,1075655.5,1019552,1101930,970591.7
Belarus,709252.25,741787.4,751795.3,702003.44,716774.1,734150.94,558513.1,635701.25,581430.3,716328.9,545354.25,673831.44,786729.1,706641.06,552076.25,678867.56,896810.4,829646.6,864579.8,649165.1,688728.3,765247.44,846839.56,951550.7,940574.4,918360.56,814952.3,812329.7,836528.06,903469.9
Belgium,765631.6,457348.12,561268.3,588166.2,647801.06,572060.2,672553.7,451852.94,381689.84,722846.25,814133.9,549427.1,832454.94,689352.5,838665.44,631306.3,483998.84,955184.6,913034.3,979156.2,993970.3,986679.7,962206,791300.06,457112.44,801933.25,665443.75,562269.6,679373,533159.25
Belize,1061380,904158.56,884207,907120.7,897161.9,851014.3,926176.9,871130.44,792010.44,989692.94,1106083.6,987469.1,1088112.1,1049911.2,766907.1,936396.44,907151.6,937151.4,790168.56,1146422.1,968903.06,824008.7,947626.25,935895.9,923061.9,890267.75,891691.1,1009660.6,856222.56,827194.2
Benin,922492.25,1007484.75,971518.5,1006783.44,978248.56,917089.2,758445.5,858222.9,1002311.5,969222.75,719915.06,934584.3,687925.2,878279.56,927118.1,927607.9,1007574.4,1023209.8,979041.7,991455.5,949132.7,940425.1,746335.9,823056.8,914845.75,872549.2,892142.2,939882.25,959867.25,814439.75
Bhutan,594185.8,801461.44,846116,591402.9,691462.8,816405.06,703351.2,919613.8,556491.06,941782.1,989094.75,984770.94,914901.1,814269.75,764050.5,779391.4,723644.1,872884.56,981336.5,1018094.06,840057.94,761712.4,841384.4,1024645.94,1035169.8,889705.6,761874.4,506346.75,731974.6,618291.44
